tld,type,language_code,sponsor,punycode,translation,romanized,rtl
dunlop,gTLD,,The Goodyear Tire & Rubber Company,,,,False
duns,gTLD,,Not assigned,,,,False
dupont,gTLD,,E. I. du Pont de Nemours and Company,,,,False
durban,gTLD,,ZA Central Registry NPC trading as ZA Central Registry,,,,False
dvag,gTLD,,Deutsche Vermögensberatung Aktiengesellschaft DVAG,,,,False
dvr,gTLD,,Hughes Satellite Systems Corporation,,,,False
dz,ccTLD,,CERIST,,,,False
earth,gTLD,,"Interlink Co., Ltd.",,,,False
eat,gTLD,,Charleston Road Registry Inc.,,,,False
ec,ccTLD,,ECUADORDOMAIN S.A.,,,,False
eco,gTLD,,Big Room Inc.,,,,False
edeka,gTLD,,EDEKA Verband kaufmännischer Genossenschaften e.V.,,,,False
edu,sTLD,,EDUCAUSE,,,,False
education,gTLD,,"Binky Moon, LLC",,,,False
ee,ccTLD,,Eesti Interneti Sihtasutus (EIS),,,,False
eg,ccTLD,,Egyptian Universities Network (EUN) Supreme Council of Universities,,,,False
eh,ccTLD,,Not assigned,,,,False
email,gTLD,,"Binky Moon, LLC",,,,False
emerck,gTLD,,Merck KGaA,,,,False
energy,gTLD,,"Binky Moon, LLC",,,,False
engineer,gTLD,,United TLD Holdco Ltd.,,,,False
engineering,gTLD,,"Binky Moon, LLC",,,,False
enterprises,gTLD,,"Binky Moon, LLC",,,,False
epost,gTLD,,Not assigned,,e-mail,,False
epson,gTLD,,Seiko Epson Corporation,,,,False
equipment,gTLD,,"Binky Moon, LLC",,,,False
er,ccTLD,,Eritrea Telecommunication Services Corporation (EriTel),,,,False
ericsson,gTLD,,Telefonaktiebolaget L M Ericsson,,,,False
erni,gTLD,,ERNI Group Holding AG,,,,False
es,ccTLD,,Red.es,,,,False
esq,gTLD,,Charleston Road Registry Inc.,,,,False
estate,gTLD,,"Binky Moon, LLC",,,,False
esurance,gTLD,,Not assigned,,,,False
et,ccTLD,,Ethio telecom,,,,False
etisalat,gTLD,,Emirates Telecommunications Corporation (trading as Etisalat),,,,False
eu,ccTLD,,EURid vzw/asbl,,,,False
eurovision,gTLD,,European Broadcasting Union (EBU),,,,False
eus,gTLD,,Puntueus Fundazioa,,,,False
events,gTLD,,"Binky Moon, LLC",,,,False
everbank,gTLD,,Not assigned,,,,False
exchange,gTLD,,"Binky Moon, LLC",,,,False
expert,gTLD,,"Binky Moon, LLC",,,,False
exposed,gTLD,,"Binky Moon, LLC",,,,False
express,gTLD,,"Binky Moon, LLC",,,,False
extraspace,gTLD,,Extra Space Storage LLC,,,,False
fage,gTLD,,Fage International S.A.,,,,False
fail,gTLD,,"Binky Moon, LLC",,,,False
fairwinds,gTLD,,"FairWinds Partners, LLC",,,,False
faith,gTLD,,dot Faith Limited,,,,False
family,gTLD,,United TLD Holdco Ltd.,,,,False
fan,gTLD,,Asiamix Digital Ltd,,,,False
fans,gTLD,,ZDNS International Limited,,,,False
farm,gTLD,,"Binky Moon, LLC",,,,False
farmers,gTLD,,Farmers Insurance Exchange,,,,False
fashion,gTLD,,Minds + Machines Group Limited,,,,False
fast,gTLD,,"Amazon Registry Services, Inc.",,,,False
fedex,gTLD,,Federal Express Corporation,,,,False
feedback,gTLD,,"Top Level Spectrum, Inc.",,,,False
ferrari,gTLD,,Fiat Chrysler Automobiles N.V.,,,,False
ferrero,gTLD,,Ferrero Trading Lux S.A.,,,,False
fi,ccTLD,,Finnish Transport and Communications Agency Traficom,,,,False
fiat,gTLD,,Fiat Chrysler Automobiles N.V.,,,,False
fidelity,gTLD,,Fidelity Brokerage Services LLC,,,,False
fido,gTLD,,Rogers Communications Canada Inc.,,,,False
film,gTLD,,Motion Picture Domain Registry Pty Ltd,,,,False
final,gTLD,,Núcleo de Informação e Coordenação do Ponto BR - NIC.br,,,,False
finance,gTLD,,"Binky Moon, LLC",,,,False
financial,gTLD,,"Binky Moon, LLC",,,,False
fire,gTLD,,"Amazon Registry Services, Inc.",,,,False
firestone,gTLD,,"Bridgestone Licensing Services, Inc.",,,,False
firmdale,gTLD,,Firmdale Holdings Limited,,,,False
fish,gTLD,,"Binky Moon, LLC",,,,False
fishing,gTLD,,Minds + Machines Group Limited,,,,False
fit,gTLD,,Minds + Machines Group Limited,,,,False
fitness,gTLD,,"Binky Moon, LLC",,,,False
fj,ccTLD,,The University of the South Pacific IT Services,,,,False
fk,ccTLD,,Falkland Islands Government,,,,False
flickr,gTLD,,"Flickr, Inc.",,,,False
flights,gTLD,,"Binky Moon, LLC",,,,False
flir,gTLD,,"FLIR Systems, Inc.",,,,False
florist,gTLD,,"Binky Moon, LLC",,,,False
flowers,gTLD,,"Uniregistry, Corp.",,,,False
flsmidth,gTLD,,Retired,,,,False
fly,gTLD,,Charleston Road Registry Inc.,,,,False
fm,ccTLD,,FSM Telecommunications Corporation,,,,False
fo,ccTLD,,FO Council,,,,False
foo,gTLD,,Charleston Road Registry Inc.,,,,False
food,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
foodnetwork,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
football,gTLD,,"Binky Moon, LLC",,,,False
ford,gTLD,,Ford Motor Company,,,,False
forex,gTLD,,DOTFOREX REGISTRY LTD,,,,False
forsale,gTLD,,"United TLD Holdco, LLC",,,,False
forum,gTLD,,"Fegistry, LLC",,,,False
foundation,gTLD,,"Binky Moon, LLC",,,,False
fox,gTLD,,"FOX Registry, LLC",,,,False
fr,ccTLD,,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.),,,,False
free,gTLD,,"Amazon Registry Services, Inc.",,,,False
fresenius,gTLD,,Fresenius Immobilien-Verwaltungs-GmbH,,,,False
frl,gTLD,,FRLregistry B.V.,,,,False
frogans,gTLD,,OP3FT,,,,False
frontdoor,gTLD,,"Lifestyle Domain Holdings, Inc.",,,,False
frontier,gTLD,,Frontier Communications Corporation,,,,False
ftr,gTLD,,Frontier Communications Corporation,,,,False
fujitsu,gTLD,,Fujitsu Limited,,,,False
fujixerox,gTLD,,Xerox DNHC LLC,,,,False
